編號,年度,工場名稱,營業項目,聯絡人,地址,電話,統一編號
1,115,ENJOY臺北餐廳,餐飲業,陳小姐,臺北市信義區市府路1號1樓,2720-5208,42313026
2,115,勝利基金會辦理樸樹咖啡捷運古亭店(捷運古亭庇護工場),餐飲業,謝佳男,臺北市中正區羅斯福路2段164-1號B1,2368-9093,88260310
3,115,EasyCoffee(捷運善導寺庇護工場),餐飲業,賴楨希,臺北市中正區忠孝東路1段58號B1,2395-6102,15668282
4,115,"快樂小舖
(捷運南勢角庇護工場)",零售業,王錫陽,新北市中和區捷運路6號B3,2943-3994,34897357
5,115,"樂芽一號庇護工場
(富陽1店庇護工場)",食品製迼業、批發及零售業,張先生,臺北市信義區和平東路3段341巷3號1樓,8732-8101,88261774
6,115,"育成洗車中心
(建忠庇護工場)",汽車美容、清潔用品零售業、未分類其他食品、飲料及箊草製品零售、汽車充電,"鄭育明
尤玉慧",臺北市大安區建國南路、濟南路口高架橋下,"2711-5842
2740-7418",77909732
7,115,"光仁選品店
(捷運大直庇護工場)",零售業,謝佩樺,臺北市中山區北安路534-1號B1,8509-8601,25620724
8,115,"育成蕃薯藤
(忠孝庇護工場)",餐飲業、西點麵包零售、清潔用品零售業、未分類其他食品、飲料及箊草製品零售,黃正珀,臺北市大安區建國南路1段181號,2752-1785,31811258
9,115,"地熱谷小舖
(地熱谷庇護工場)",零售業,趙哲晨,臺北市北投區中山路30-10號2樓,2895-0556,31827738
10,115,"愛不囉嗦庇護工場南港店
(捷運南港展覽館庇護工場)",食品製造業、零售業?,王文芳,臺北市南港區研究院路1段1號B2(捷運南港展覽館站6號出口內),2653-8321,31905071
11,115,樂芽永續股份有限公司青年1庇護工場,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷6號,7752-2518,88345021
12,115,樂芽永續股份有限公司青年2庇護工場,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷14號,7752-2518,88345015
13,115,"光仁選品店
(萬大庇護工場)",零售業,吳佳蓉,臺北市萬華區萬大路423巷38號,2305-0025,88347718
14,115,"第一輔具庇護工場
(國光國宅庇護工場)",輔具清潔、販售,徐佩珊,臺北市萬華區國興路22、24號1樓,2303-3366,88391137
15,115,興岩庇護工場,餐飲業,張湘蓉,臺北市文山區興隆路2段88號及88-1號,"2933-5626
2776-6603",93168019
16,115,財團法人心路社會福利基金會附設心路洗衣坊?,洗衣業、零售業?,"信義：楊小姐
大安：李小姐
大直：黃小姐","信義：臺北市信義區嘉興街303之5號1樓
大安：臺北市大安區瑞安街65-3號
大直：臺北市中山區北安路458巷41弄39號","信義：8732-6590
大安：2708-6047
大直：8509-2850","48869177(信義)
99960873(大安)
26325664(大直)"
17,115,神腦國際手機維修庇護工場,個人及家庭用品維修業、零售業,郭家銘,臺北市松山區民權東路3段102號1樓,2718-6060轉25,48858489
18,115,臺北榮民總醫院附設庇護工場,餐飲業、清潔服務業、零售業,曾乘軒,臺北市北投區石牌路2段201號,"2875-7027
轉570",48978457
19,115,財團法人伊甸社會福利基金會附設阿萬師清潔工作隊,清潔服務業,蔡依靜,臺北市文山區萬美街1段55號3樓之7,2239-2826,10323036
20,115,臺北醫學大學附設醫院樂活屋庇護商店,零售業,邱晨瑜,臺北市信義區吳興街252號第一大樓B1、1樓及2樓,"2737-2181
轉3665",10338002
21,115,財團法人伊甸社會福利基金會附設數位資料處理庇護工場,業務及辦公室支援服務業,高小美,臺北市文山區萬美街1段55號3樓之10,2230-8002,10342076
22,115,財團法人心路社會福利基金會附設心路機動工作隊,清潔服務、業務及辦公室支援服務業,張宜勳,臺北市文山區萬美街1段59號,2230-6503,10337735
23,115,馬偕紀念醫院附設喜樂工作坊,餐飲業、零售業,蔡旻霈,臺北市中山區中山北路2段92號福音樓3樓,"2543-3535
轉3692",10348698
24,115,糕菲庇護工場,食品製造業、其他餐飲業,王淑真,臺北市內湖區行愛路140巷25號,2785-2499,10349211
25,115,台北市康復之友協會附設勞務服務中心,清潔服務業,李欣諭,臺北市松山區八德路4段604號2樓之6,"2765-2810
轉262",10353191
26,115,曦望數位設計印刷庇護工場,產品設計、排版、資料處理服務、影印、文具零售、日常用品零售、理貨包裝業,夏逸梅,臺北市萬華區西園路2段261巷12弄44號1樓及279-9號1樓,"2309-3138
轉17",10374153
27,115,台北市自閉症家長協會附設小貝殼工作坊,其他全新商品零售業,方若嘉,臺北市大同區酒泉街189、197號,2595-3954,97995806
28,115,臺北市立聯合醫院附設庇護工場,餐飲業、零售業,謝先生,臺北市大安區仁愛路4段10號醫療大樓2樓、南棟6樓,"2709-3600
轉5113、3245",25611871
29,115,三軍總醫院北投分院附設庇護工場,清潔服務業、零售業,邱泰楨,臺北市北投區新民路60號,"2895-9808
轉603128",25531413
30,115,傳玻者文創設計中心,其他專門設計業,余玉蓮,臺北市大同區民族西路162巷2、4號1樓,2881-2895,25510542
31,115,財團法人喜憨兒社會福利基金會喜憨兒烘焙屋,食品製造業,"邱小姐
林小姐
林小姐","光復店：臺北市信義區光復南路461號
中華店：臺北市信義路1段21-3號B1
勞保店：臺北市羅斯福路1段4號","光復2725-2759
中華2344-4265
勞保2391-9389","73884669(光復)
48748322(勞保)
48866586(中華)"
32,115,財團法人台北市自閉兒社會福利基金會附設愛肯樂活工場,飲食成品、零售業,卓佳怡,臺北市大同區甘谷街16號2樓,2599-3803,25642950
33,115,勝利數位設計印刷中心,印刷及其輔助業、文具批發業,周德文,臺北市大安區和平東路2段53巷2號9樓,2754-0526,31885602
34,115,新品文具庇護工場,文具製造業、文具批發業,彭中興,臺北市士林區承德路4段180號3樓,2889-1155,31897038
35,115,勝利便利商店松醫店,零售業,張佩鈴,臺北市松山區健康路158號,7723-0420,31909196
36,115,愛不囉嗦庇護工場,食品製造業、零售業,郭麗玉,臺北市大同區承德路3段212之5號1樓,2586-9321,38493362
37,115,伊果文創印刷庇護工場,印刷及其輔助業、其他專門設計業,林子馨,臺北市文山區保儀路9號4樓,2939-2169,42387693
38,115,勝利便利商店敦中店,零售業,吳小姐,臺北市松山區敦化北路4巷1號,7713-7209,42485982
39,115,樸樹咖啡,餐飲業,吳堅群,臺北市萬華區廣州街95-1、95-2、95-3號,2306-6308,76320735
40,115,雙喵星球庇護工場,餐飲業,許家瑋,臺北市士林區美德街104號1樓,2831-9191,663952
41,115,"勝利加油站
(大安加油站)",加油站業,黃朝棟,臺北市大安區建國南路2段75-1號,2755-5499,25505956
42,115,"陽光加油站
(市民加油站)",加油站業,王顧婷,臺北市大安區建國南路1段57-1號,2752-9928,31815058
43,115,"陽光汽車美容中心
(建和社會企業)",汽車美容業,蔡淞梧,臺北市大安區建國南路2段280號,2365-7791,77847440
44,115,建北加油站,加油站業,王顧婷,臺北市中山區建國北路3段91之1號,2515-0228,88187825
45,115,"陽光活力中心八德二館
(臺北社企館1F)",體能訓練服務,蘇秋香,臺北市中山區八德路2段174巷28號1樓,2772-8816,585437
46,115,新生命資訊服務股份有限公司(臺北社企館2F),薦才、代管、諮詢/視覺設計、影音製作、平台維運、品牌經營整合服務,陳冠民,臺北市中山區八德路2段174巷28號2樓,8751-5350,28852178
47,115,社團法人台灣公益團體自律聯盟(臺北社企館3F),多功能會議廳、空間場地出借,林怡君,臺北市中山區八德路2段174巷28號3樓,8772-6020,48688957
48,115,黑暗對話社會企業股份有限公司(臺北社企館4F),各類主題工作坊、音樂會、濾掛咖啡及文創產品,李芳琦,臺北市中山區八德路2段174巷28號4樓,8772-3100,53334097
49,115,"視障者音樂發展中心
(臺北社企館5F)",藝文服務、文教服務、樂器/育樂用品出租銷售,曾昱勻,臺北市中山區八德路2段174巷28號5樓,"7730-7388
轉106",76661557
50,115,"陽光活力中心八德館
(臺北社企館6、7F)",運動、輕食飲料、運動相關百貨零售,蘇秋香,臺北市中山區八德路2段174巷28號6、7樓,2772-8816,77064311
51,115,第一物業管理社會企業,清潔服務、複合支援服務業,黃荷麗,臺北市南港區重陽路223號B1,"2722-4136
轉1879",4170054
52,115,"第一輔具股份有限公司
(富陽2店)",輔具清潔、販售,余小姐,臺北市信義區和平東路3段341巷7號1樓,2377-2188,93679841
53,115,大龍粥食品有限公司,長照餐飲、零售供餐,許家浩,臺北市松山區八德路2段410巷5弄1號1樓,0972-906738,96825353
